County,Age,Population estimate 2020
Alachua,Total,269820
Alachua,0-4,13989
Alachua,5-17,33938
Alachua,18-24,58699
Alachua,25-54,93583
Alachua,55-64,28656
Alachua,65-79,31526
Alachua,80+,9429
Baker,Total,28519
Baker,0-4,1890
Baker,5-17,4873
Baker,18-24,2577
Baker,25-54,11472
Baker,55-64,3658
Baker,65-79,3249
Baker,80+,800
Bay,Total,175256
Bay,0-4,10923
Bay,5-17,26908
Bay,18-24,14471
Bay,25-54,66984
Bay,55-64,24921
Bay,65-79,23108
Bay,80+,7941
Bradford,Total,28796
Bradford,0-4,1615
Bradford,5-17,4023
Bradford,18-24,2339
Bradford,25-54,11611
Bradford,55-64,3871
Bradford,65-79,3996
Bradford,80+,1341
Brevard,Total,602392
Brevard,0-4,29629
Brevard,5-17,81433
Brevard,18-24,43355
Brevard,25-54,200073
Brevard,55-64,103075
Brevard,65-79,104712
Brevard,80+,40115
Broward,Total,1941215
Broward,0-4,113010
Broward,5-17,293969
Broward,18-24,158879
Broward,25-54,768442
Broward,55-64,272132
Broward,65-79,248386
Broward,80+,86397
Calhoun,Total,14865
Calhoun,0-4,834
Calhoun,5-17,2189
Calhoun,18-24,1183
Calhoun,25-54,5808
Calhoun,55-64,2007
Calhoun,65-79,2148
Calhoun,80+,696
Charlotte,Total,184725
Charlotte,0-4,6229
Charlotte,5-17,17935
Charlotte,18-24,9362
Charlotte,25-54,48095
Charlotte,55-64,33556
Charlotte,65-79,49944
Charlotte,80+,19604
Citrus,Total,149398
Citrus,0-4,5554
Citrus,5-17,16522
Citrus,18-24,7644
Citrus,25-54,40445
Citrus,55-64,27040
Citrus,65-79,37807
Citrus,80+,14386
Clay,Total,219035
Clay,0-4,13016
Clay,5-17,39929
Clay,18-24,18249
Clay,25-54,84209
Clay,55-64,29032
Clay,65-79,27005
Clay,80+,7595
Collier,Total,384649
Collier,0-4,18744
Collier,5-17,51290
Collier,18-24,27082
Collier,25-54,120980
Collier,55-64,55504
Collier,65-79,78414
Collier,80+,32635
Columbia,Total,70546
Columbia,0-4,4205
Columbia,5-17,10758
Columbia,18-24,6395
Columbia,25-54,24977
Columbia,55-64,10247
Columbia,65-79,10829
Columbia,80+,3135
Desoto,Total,36332
Desoto,0-4,2096
Desoto,5-17,5660
Desoto,18-24,3363
Desoto,25-54,13710
Desoto,55-64,4498
Desoto,65-79,5335
Desoto,80+,1670
Dixie,Total,16696
Dixie,0-4,829
Dixie,5-17,2140
Dixie,18-24,1162
Dixie,25-54,5789
Dixie,55-64,2804
Dixie,65-79,3183
Dixie,80+,789
Duval,Total,985460
Duval,0-4,66215
Duval,5-17,158547
Duval,18-24,90581
Duval,25-54,396799
Duval,55-64,126528
Duval,65-79,113477
Duval,80+,33313
Escambia,Total,323998
Escambia,0-4,20088
Escambia,5-17,50319
Escambia,18-24,33399
Escambia,25-54,117657
Escambia,55-64,43624
Escambia,65-79,44448
Escambia,80+,14463
Flagler,Total,113398
Flagler,0-4,5242
Flagler,5-17,15480
Flagler,18-24,7094
Flagler,25-54,36853
Flagler,55-64,16531
Flagler,65-79,24385
Flagler,80+,7813
Florida,Total,21555986
Florida,0-4,1192898
Florida,5-17,3174741
Florida,18-24,1850630
Florida,25-54,7960167
Florida,55-64,2973311
Florida,65-79,3252460
Florida,80+,1151779
Franklin,Total,12213
Franklin,0-4,586
Franklin,5-17,1530
Franklin,18-24,875
Franklin,25-54,4769
Franklin,55-64,1744
Franklin,65-79,2098
Franklin,80+,611
Gadsden,Total,46311
Gadsden,0-4,2877
Gadsden,5-17,7310
Gadsden,18-24,3668
Gadsden,25-54,17568
Gadsden,55-64,6508
Gadsden,65-79,6679
Gadsden,80+,1701
Gilchrist,Total,17979
Gilchrist,0-4,962
Gilchrist,5-17,2580
Gilchrist,18-24,2036
Gilchrist,25-54,5685
Gilchrist,55-64,2722
Gilchrist,65-79,3007
Gilchrist,80+,987
Glades,Total,13215
Glades,0-4,583
Glades,5-17,1699
Glades,18-24,995
Glades,25-54,4788
Glades,55-64,1817
Glades,65-79,2473
Glades,80+,860
Gulf,Total,14688
Gulf,0-4,636
Gulf,5-17,1815
Gulf,18-24,1013
Gulf,25-54,5567
Gulf,55-64,2269
Gulf,65-79,2600
Gulf,80+,788
Hamilton,Total,14610
Hamilton,0-4,726
Hamilton,5-17,1970
Hamilton,18-24,1714
Hamilton,25-54,5291
Hamilton,55-64,2075
Hamilton,65-79,2278
Hamilton,80+,556
Hardee,Total,27567
Hardee,0-4,1991
Hardee,5-17,5292
Hardee,18-24,2985
Hardee,25-54,10220
Hardee,55-64,3020
Hardee,65-79,3139
Hardee,80+,920
Hendry,Total,40509
Hendry,0-4,3086
Hendry,5-17,8122
Hendry,18-24,3967
Hendry,25-54,15033
Hendry,55-64,4559
Hendry,65-79,4277
Hendry,80+,1465
Hernando,Total,191456
Hernando,0-4,8969
Hernando,5-17,25989
Hernando,18-24,12300
Hernando,25-54,61121
Hernando,55-64,28521
Hernando,65-79,39404
Hernando,80+,15152
Highlands,Total,104204
Highlands,0-4,4864
Highlands,5-17,13075
Highlands,18-24,6279
Highlands,25-54,28244
Highlands,55-64,15880
Highlands,65-79,25356
Highlands,80+,10506
Hillsborough,Total,1474314
Hillsborough,0-4,95958
Hillsborough,5-17,248264
Hillsborough,18-24,144093
Hillsborough,25-54,601808
Hillsborough,55-64,175890
Hillsborough,65-79,159021
Hillsborough,80+,49280
Holmes,Total,20177
Holmes,0-4,1107
Holmes,5-17,2982
Holmes,18-24,1681
Holmes,25-54,7277
Holmes,55-64,2835
Holmes,65-79,3272
Holmes,80+,1023
Indian River,Total,157621
Indian River,0-4,7227
Indian River,5-17,20111
Indian River,18-24,10061
Indian River,25-54,46867
Indian River,55-64,24819
Indian River,65-79,34246
Indian River,80+,14290
Jackson,Total,47148
Jackson,0-4,2475
Jackson,5-17,6652
Jackson,18-24,4032
Jackson,25-54,17968
Jackson,55-64,6460
Jackson,65-79,7066
Jackson,80+,2495
Jefferson,Total,14817
Jefferson,0-4,739
Jefferson,5-17,1889
Jefferson,18-24,977
Jefferson,25-54,5351
Jefferson,55-64,2477
Jefferson,65-79,2772
Jefferson,80+,612
Lafayette,Total,8701
Lafayette,0-4,472
Lafayette,5-17,1370
Lafayette,18-24,934
Lafayette,25-54,3516
Lafayette,55-64,1012
Lafayette,65-79,1071
Lafayette,80+,326
Lake,Total,366615
Lake,0-4,19202
Lake,5-17,52442
Lake,18-24,25280
Lake,25-54,119312
Lake,55-64,55156
Lake,65-79,70545
Lake,80+,24678
Lee,Total,752776
Lee,0-4,38647
Lee,5-17,100972
Lee,18-24,56297
Lee,25-54,250862
Lee,55-64,109933
Lee,65-79,148950
Lee,80+,47115
Leon,Total,299764
Leon,0-4,16048
Leon,5-17,41203
Leon,18-24,62354
Leon,25-54,106511
Leon,55-64,31672
Leon,65-79,33018
Leon,80+,8958
Levy,Total,41578
Levy,0-4,2243
Levy,5-17,5859
Levy,18-24,2892
Levy,25-54,13826
Levy,55-64,6854
Levy,65-79,7807
Levy,80+,2097
Liberty,Total,8758
Liberty,0-4,447
Liberty,5-17,1310
Liberty,18-24,809
Liberty,25-54,3984
Liberty,55-64,1091
Liberty,65-79,884
Liberty,80+,233
Madison,Total,19243
Madison,0-4,1158
Madison,5-17,3038
Madison,18-24,1511
Madison,25-54,6778
Madison,55-64,2732
Madison,65-79,3092
Madison,80+,934
Manatee,Total,395789
Manatee,0-4,20910
Manatee,5-17,55505
Manatee,18-24,28488
Manatee,25-54,125457
Manatee,55-64,59682
Manatee,65-79,78318
Manatee,80+,27429
Marion,Total,365941
Marion,0-4,18339
Marion,5-17,48529
Marion,18-24,23281
Marion,25-54,112462
Marion,55-64,56108
Marion,65-79,79238
Marion,80+,27984
Martin,Total,160569
Martin,0-4,6355
Martin,5-17,18786
Martin,18-24,10178
Martin,25-54,48602
Martin,55-64,27059
Martin,65-79,34647
Martin,80+,14942
Miami-Dade,Total,2849934
Miami-Dade,0-4,157655
Miami-Dade,5-17,422241
Miami-Dade,18-24,248283
Miami-Dade,25-54,1181591
Miami-Dade,55-64,365275
Miami-Dade,65-79,340620
Miami-Dade,80+,134269
Monroe,Total,76266
Monroe,0-4,3304
Monroe,5-17,7955
Monroe,18-24,4514
Monroe,25-54,29219
Monroe,55-64,12990
Monroe,65-79,14857
Monroe,80+,3427
Nassau,Total,86949
Nassau,0-4,4691
Nassau,5-17,12519
Nassau,18-24,6372
Nassau,25-54,29772
Nassau,55-64,13834
Nassau,65-79,15562
Nassau,80+,4199
Okaloosa,Total,203803
Okaloosa,0-4,13151
Okaloosa,5-17,32107
Okaloosa,18-24,17248
Okaloosa,25-54,76968
Okaloosa,55-64,29095
Okaloosa,65-79,26133
Okaloosa,80+,9101
Okeechobee,Total,42122
Okeechobee,0-4,2512
Okeechobee,5-17,7030
Okeechobee,18-24,3843
Okeechobee,25-54,15445
Okeechobee,55-64,5337
Okeechobee,65-79,5895
Okeechobee,80+,2060
Orange,Total,1418927
Orange,0-4,90182
Orange,5-17,237792
Orange,18-24,160807
Orange,25-54,595618
Orange,55-64,160156
Orange,65-79,134893
Orange,80+,39479
Osceola,Total,384766
Osceola,0-4,23924
Osceola,5-17,70039
Osceola,18-24,36457
Osceola,25-54,154589
Osceola,55-64,47229
Osceola,65-79,41050
Osceola,80+,11478
Palm Beach,Total,1465835
Palm Beach,0-4,77772
Palm Beach,5-17,207696
Palm Beach,18-24,113521
Palm Beach,25-54,516322
Palm Beach,55-64,200522
Palm Beach,65-79,242715
Palm Beach,80+,107287
Pasco,Total,537332
Pasco,0-4,28346
Pasco,5-17,80090
Pasco,18-24,39637
Pasco,25-54,189374
Pasco,55-64,75124
Pasco,65-79,92563
Pasco,80+,32198
Pinellas,Total,984925
Pinellas,0-4,46670
Pinellas,5-17,119006
Pinellas,18-24,66512
Pinellas,25-54,338653
Pinellas,55-64,161090
Pinellas,65-79,184758
Pinellas,80+,68236
Polk,Total,704072
Polk,0-4,42921
Polk,5-17,114868
Polk,18-24,59687
Polk,25-54,247015
Polk,55-64,93263
Polk,65-79,111221
Polk,80+,35097
Putnam,Total,73344
Putnam,0-4,4446
Putnam,5-17,11391
Putnam,18-24,5352
Putnam,25-54,24020
Putnam,55-64,11511
Putnam,65-79,12685
Putnam,80+,3939
Santa Rosa,Total,182792
Santa Rosa,0-4,10673
Santa Rosa,5-17,29830
Santa Rosa,18-24,15096
Santa Rosa,25-54,71477
Santa Rosa,55-64,26114
Santa Rosa,65-79,23204
Santa Rosa,80+,6398
Sarasota,Total,433271
Sarasota,0-4,16230
Sarasota,5-17,47280
Sarasota,18-24,25534
Sarasota,25-54,123406
Sarasota,55-64,68240
Sarasota,65-79,105948
Sarasota,80+,46633
Seminole,Total,478823
Seminole,0-4,27540
Seminole,5-17,76275
Seminole,18-24,43935
Seminole,25-54,193295
Seminole,55-64,62462
Seminole,65-79,56658
Seminole,80+,18658
St. Johns,Total,263854
St. Johns,0-4,13623
St. Johns,5-17,42660
St. Johns,18-24,20748
St. Johns,25-54,96102
St. Johns,55-64,38190
St. Johns,65-79,40205
St. Johns,80+,12326
St. Lucie,Total,315236
St. Lucie,0-4,17917
St. Lucie,5-17,48306
St. Lucie,18-24,23420
St. Lucie,25-54,111370
St. Lucie,55-64,44975
St. Lucie,65-79,51213
St. Lucie,80+,18035
Sumter,Total,132308
Sumter,0-4,2761
Sumter,5-17,8489
Sumter,18-24,4516
Sumter,25-54,26888
Sumter,55-64,19008
Sumter,65-79,53407
Sumter,80+,17239
Suwannee,Total,45908
Suwannee,0-4,2586
Suwannee,5-17,7162
Suwannee,18-24,3710
Suwannee,25-54,15838
Suwannee,55-64,6353
Suwannee,65-79,7531
Suwannee,80+,2728
Taylor,Total,22627
Taylor,0-4,1230
Taylor,5-17,3202
Taylor,18-24,1728
Taylor,25-54,8169
Taylor,55-64,3264
Taylor,65-79,3955
Taylor,80+,1079
Union,Total,15488
Union,0-4,748
Union,5-17,1975
Union,18-24,1411
Union,25-54,6726
Union,55-64,2559
Union,65-79,1719
Union,80+,350
Volusia,Total,545183
Volusia,0-4,26027
Volusia,5-17,72971
Volusia,18-24,44110
Volusia,25-54,180800
Volusia,55-64,86824
Volusia,65-79,99707
Volusia,80+,34744
Wakulla,Total,33289
Wakulla,0-4,1859
Wakulla,5-17,5275
Wakulla,18-24,2630
Wakulla,25-54,14118
Wakulla,55-64,4532
Wakulla,65-79,3972
Wakulla,80+,903
Walton,Total,72053
Walton,0-4,4050
Walton,5-17,10653
Walton,18-24,4934
Walton,25-54,27265
Walton,55-64,11174
Walton,65-79,11101
Walton,80+,2876
Washington,Total,25216
Washington,0-4,1365
Washington,5-17,3722
Washington,18-24,2091
Washington,25-54,9773
Washington,55-64,3611
Washington,65-79,3678
Washington,80+,976
