County,Cases,Negative,Total,Percent Positive
Alachua,17,522,539,3.2%
Baker,3,49,52,5.8%
Bay,4,85,89,4.5%
Bradford,2,54,56,3.6%
Brevard,45,696,741,6.1%
Broward,473,3067,3540,13.4%
Calhoun,0,10,10,0.0%
Charlotte,16,123,139,11.5%
Citrus,8,133,141,5.7%
Clay,10,397,407,2.5%
Collier,329,825,1154,28.5%
Columbia,21,199,220,9.5%
Dade,856,4564,5420,15.8%
Desoto,74,107,181,40.9%
Dixie,9,51,60,15.0%
Duval,143,2048,2191,6.5%
Escambia,62,909,971,6.4%
Flagler,6,99,105,5.7%
Franklin,0,11,11,0.0%
Gadsden,14,154,168,8.3%
Gilchrist,2,29,31,6.5%
Glades,7,10,17,41.2%
Gulf,1,21,22,4.5%
Hamilton,19,38,57,33.3%
Hardee,30,72,102,29.4%
Hendry,63,146,209,30.1%
Hernando,8,150,158,5.1%
Highlands,15,123,138,10.9%
Hillsborough,338,2992,3330,10.2%
Holmes,1,36,37,2.7%
Indian River,23,143,166,13.9%
Jackson,13,64,77,16.9%
Jefferson,2,25,27,7.4%
Lafayette,1,7,8,12.5%
Lake,24,537,561,4.3%
Lee,189,725,914,20.7%
Leon,21,594,615,3.4%
Levy,3,67,70,4.3%
Liberty,0,10,10,0.0%
Madison,4,80,84,4.8%
Manatee,118,595,713,16.5%
Marion,19,447,466,4.1%
Martin,163,241,404,40.3%
Monroe,6,98,104,5.8%
Nassau,4,124,128,3.1%
Okaloosa,30,329,359,8.4%
Okeechobee,50,92,142,35.2%
Orange,212,2841,3053,6.9%
Osceola,45,587,632,7.1%
Palm Beach,682,2574,3256,20.9%
Pasco,43,693,736,5.8%
Pinellas,187,925,1112,16.8%
Polk,110,1007,1117,9.8%
Putnam,28,192,220,12.7%
Santa Rosa,12,563,575,2.1%
Sarasota,22,384,406,5.4%
Seminole,43,750,793,5.4%
St. Johns,16,475,491,3.3%
St.Lucie,72,387,459,15.7%
Sumter,4,59,63,6.3%
Suwannee,15,109,124,12.1%
Taylor,2,56,58,3.4%
Union,0,34,34,0.0%
Unknown,0,1,1,0.0%
Volusia,49,565,614,8.0%
Wakulla,0,52,52,0.0%
Walton,18,79,97,18.6%
Washington,3,30,33,9.1%
Total,4809,34261,39070,12.3%
